Event,Ardn_time[ms],ADC[0-1023],SiPM[mV],Deadtime[ms],Temp[C],Name
176,182464,71,19.06,891,23.15,
177,183194,60,17.43,896,23.15,
178,184370,60,17.43,901,23.37,
179,190626,231,39.55,906,23.15,
180,192119,252,43.42,911,22.94,
181,193114,76,19.69,916,23.15,
182,194716,729,380.02,921,23.15,
183,195549,222,37.96,926,23.48,
184,196272,448,112.41,931,23.05,
185,196572,280,48.67,936,23.15,
186,197791,387,81.05,941,23.37,
187,197856,71,19.06,946,23.15,
188,197911,312,55.68,951,23.15,
189,198322,194,33.00,956,23.15,
190,198762,240,41.21,961,23.15,
191,198937,65,18.22,966,23.15,
192,199108,254,43.77,972,23.26,
193,200007,176,30.09,977,22.83,
194,201574,305,53.88,982,23.37,
195,202230,249,42.85,987,23.15,
196,202599,345,64.98,992,22.83,
197,203410,67,18.51,997,23.15,
198,203518,96,21.67,1002,23.48,
199,203767,301,53.09,1007,22.94,
200,204581,112,22.94,1012,22.94,
201,205248,364,71.71,1017,23.15,
202,205773,327,59.28,1022,23.15,
203,206259,209,35.61,1027,22.83,
204,206479,262,45.24,1032,23.15,
205,208442,231,39.55,1038,22.83,
206,208943,284,49.41,1043,23.58,
207,210708,391,82.35,1048,23.15,
208,210979,103,22.23,1053,23.15,
209,211720,147,26.19,1058,23.15,
210,213479,121,23.66,1063,23.15,
211,213604,207,35.26,1069,23.05,
212,215502,231,39.55,1074,22.94,
213,218259,184,31.36,1079,23.15,
214,219190,440,109.25,1084,23.48,
215,219530,96,21.67,1089,23.37,
216,221399,51,15.86,1094,23.37,
217,224501,275,47.73,1099,23.15,
218,226799,399,87.30,1105,23.15,
219,227719,572,183.73,1110,23.15,
